선수 연봉,,,,
선수,연도,팀,연봉(만원),WAR
김태균,2014,한화,"150,000",4.954
강민호,2014,롯데,"100,000",1.684
이병규,2014,LG,"80,000",-0.579
이승엽,2014,삼성,"80,000",2.464
장원삼,2014,삼성,"75,000",2.66
이용규,2014,한화,"70,000",0.089
최정,2014,SK,"70,000",3.386
정근우,2014,한화,"70,000",3.605
이택근,2014,넥센,"70,000",3.156
앨버스,2014,한화,"70,000",2.56
김동주,2014,두산,"60,000",
이진영,2014,LG,"60,000",2.05
배영수,2014,삼성,"55,000",2.8
정대현,2014,롯데,"50,000",1.423
정성훈,2014,LG,"50,000",4.017
이종욱,2014,NC,"50,000",1.352
김주찬,2014,KIA,"50,000",2.974
임창용,2014,삼성,"50,000",1.15
박병호,2014,넥센,"50,000",6.63
최형우,2014,삼성,"45,000",5.334
박한이,2014,삼성,"45,000",3.125
봉중근,2014,LG,"45,000",3.177
이호준,2014,NC,"45,000",1.37
윤성환,2014,삼성,"45,000",4.666
김현수,2014,두산,"45,000",3.987
이범호,2014,KIA,"45,000",2.345
손승락,2014,넥센,"43,000",2.507
강정호,2014,,"42,000",
안지만,2014,삼성,"41,000",2.644
조인성,2014,한화,"40,000",
티포드,2014,LG,"40,000",1.574
손아섭,2014,롯데,"40,000",6.852
홍성흔,2014,두산,"40,000",3.315
손시헌,2014,NC,"40,000",2.616
정현욱,2014,LG,"40,000",0.511
최준석,2014,롯데,"40,000",2.434
니퍼트,2014,두산,"38,700",5.017
윤석민,2014,KIA,"38,000",
박석민,2014,삼성,"37,000",4.275
송승준,2014,롯데,"36,000",1.625
유먼,2014,롯데,"36,000",1.948
밴헤켄,2014,넥센,"35,000",6.919
나이트,2014,넥센,"35,000",0.194
이승호,2014,NC,"35,000",
이대수,2014,한화,"35,000",
정재훈,2014,두산,"35,000",1.059
박용택,2014,LG,"35,000",4.214
장원준,2014,롯데,"32,000",3.558
리즈,2014,LG,"30,700",
송신영,2014,넥센,"30,000",0.218
레이예스,2014,SK,"30,000",0.39
이대형,2014,KIA,"30,000",1.676
강영식,2014,롯데,"30,000",1.327
해커,2014,NC,"30,000",4.307
김강민,2014,SK,"30,000",4.665
송은범,2014,KIA,"30,000",0.148
찰리,2014,NC,"30,000",3.77
노경은,2014,두산,"28,000",-0.879
로티노,2014,넥센,"27,000",1.493
김광현,2014,SK,"27,000",5.2
권혁,2014,삼성,"26,000",1.112
히메네스,2014,,"25,000",
스캇,2014,SK,"25,000",0.635
울프,2014,SK,"25,000",1.529
옥스프링,2014,롯데,"25,000",4.778
벨,2014,LG,"25,000",
테임즈,2014,NC,"25,000",6.141
웨버,2014,NC,"25,000",2.568
나바로,2014,삼성,"25,000",6.38
어센시오,2014,,"25,000",
조쉬벨,2014,LG,"25,000",1.708
볼스테드,2014,두산,"25,000",0.358
클레이,2014,한화,"25,000",-0.288
필,2014,KIA,"25,000",2.412
밴덴헐크,2014,,"25,000",
마틴,2014,삼성,"25,000",3.545
리오단,2014,LG,"25,000",4.14
진갑용,2014,삼성,"25,000",0.051
피에,2014,,"25,000",
홀튼,2014,KIA,"25,000",1.652
칸투,2014,,"25,000",
김원섭,2014,KIA,"25,000",0.023
김상수,2014,삼성,"24,000",3.347
차우찬,2014,삼성,"24,000",1.554
박정권,2014,SK,"23,500",3.402
조동찬,2014,삼성,"22,000",0.173
채태인,2014,삼성,"21,000",2.455
나주환,2014,SK,"20,000",0.835
신경현,2014,한화,"20,000",
서재응,2014,KIA,"20,000",0.151
박정진,2014,한화,"20,000",0.852
타투스코,2014,한화,"20,000",0.511
김병현,2014,넥센,"20,000",
나지완,2014,KIA,"20,000",2.376
한상훈,2014,한화,"20,000",0.957
박진만,2014,SK,"20,000",0.027
조성환,2014,롯데,"20,000",-0.13
양의지,2014,두산,"20,000",2.738
임경완,2014,SK,"20,000",-0.066
김성배,2014,롯데,"19,000",0.842
